3 		 5
3 		 7
3 		 9
3 		 9
3 		 11
3 		 13
3 		 15
3 		 17
3 		 17
3 		 19
3 		 19
3*		*21
1*		*49
2#		#50
4 		 6
4 		 8
4#		#10
6 		 14
6 		 16
6 		 18
6#		#10
5 		 19
5*		*21
3 		 5
3 		 7
3*		*43
3*		*43
7*		*67
6 		 68
6 		 8
6 		 8
6#		#10
6 		 12
6 		 12
6 		 14
6 		 14
6 		 16
6 		 16
6 		 18
6 		 18
6 		 18
6#		#20
3 		 53
3 		 63
3*		*65
8 		 2
8 		 4
8 		 6
8 		 2
8 		 4
8 		 4
8 		 6
8 		 8
8#		#10
4 		 8
4#		#10
7 		 15
7 		 17
7 		 19
7*		*21
6 		 22
6 		 24
6 		 26
6 		 28
6#		#30
8 		 42
8 		 44
8 		 46
8#		#50
7 		 51
7 		 51
7 		 51
7 		 51
7 		 53
7 		 55
7 		 57
7 		 57
7*		*59
5 		 33
5 		 35
5 		 35
5 		 27
5 		 27
5 		 29
5 		 31
5 		 33
5 		 35
5*		*37
2 		 46
2 		 46
2 		 46
2 		 2
2 		 2
2 		 4
2 		 6
2 		 6
2#		#10
0#		#0
1 		 1
1 		 1
1 		 3
1 		 3
1 		 5
1 		 7
1 		 9
1 		 11
1 		 13
1 		 1
1 		 1
1 		 1
1 		 5
1 		 35
1*		*37
9*		*79
7 		 3
7 		 5
7 		 17
7 		 19
7 		 19
7*		*21
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
2 		 12
2 		 14
2 		 28
2#		#30
4 		 34
4 		 18
4#		#40
6 		 96
6*		*98
8 		 222
8 		 226
8 		 228
8#		#230
4 		 6
4 		 8
4 		 8
4 		 8
4#		#20
2 		 2
2 		 4
2 		 4
2 		 6
2 		 8
2 		 12
2 		 14
2 		 14
2 		 16
2 		 16
2 		 18
2#		#20
5 		 17
5 		 19
5*		*21
4 		 46
4*		*48
7 		 13
7 		 15
7 		 7
7 		 7
7 		 9
7 		 9
7 		 9
7 		 11
7 		 13
7 		 13
7 		 13
7 		 15
7 		 15
7 		 17
7 		 17
7 		 19
7 		 29
7 		 31
7 		 35
7 		 11
7 		 11
7 		 13
7 		 15
7 		 3
7 		 5
7 		 7
7 		 9
7 		 17
7 		 19
7 		 19
7 		 19
7*		*21
2 		 46
2 		 74
2 		 76
2 		 78
2#		#80
5 		 29
5 		 29
5 		 31
5*		*43
1*		*141
6 		 6
6 		 8
6#		#10
0#		#0
3 		 29
3 		 31
3 		 3
3 		 3
3 		 3
3 		 5
3 		 7
3 		 7
3 		 9
3 		 9
3 		 9
3 		 11
3 		 13
3 		 15
3 		 15
3 		 17
3 		 17
3 		 19
3 		 3
3 		 3
3 		 5
3 		 5
3 		 7
3 		 19
3 		 19
3 		 23
3 		 27
3 		 29
3 		 31
3 		 33
3 		 35
3 		 35
3 		 35
3*		*37
1 		 1
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 5
1 		 1
1 		 1
1 		 3
1 		 9
1 		 29
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 1
1 		 3
1 		 5
1 		 5
1 		 5
1 		 5
1 		 7
1 		 13
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 3
1*		*107
4 		 36
4 		 38
4 		 64
4 		 66
4 		 68
4 		 68
4 		 22
4 		 4
4 		 6
4 		 8
4 		 14
4 		 14
4 		 16
4 		 16
4 		 18
4#		#20
5 		 17
5*		*21
8*		*32
5 		 23
5*		*25
3*		*59
5 		 61
5 		 61
5 		 63
5*		*65
9 		 113
9 		 113
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 1
9 		 11
9 		 19
9*		*21
2 		 2
2 		 2
2 		 2
2 		 2
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
3 		 11
3 		 13
3 		 15
3 		 15
3 		 39
3 		 39
3 		 41
3*		*43
9 		 1
9 		 1
9 		 1
9 		 3
9 		 5
9 		 9
9 		 9
9 		 9
9 		 13
9 		 15
9 		 17
9 		 19
9*		*21
4 		 16
4 		 18
4 		 18
4#		#20
8 		 2
8 		 2
8 		 2
8 		 2
8 		 2
8 		 2
8 		 2
8 		 2
8 		 4
8 		 6
8 		 6
8 		 8
8#		#10
7 		 11
7 		 3
7 		 3
7 		 5
7 		 5
7 		 7
7 		 9
7 		 23
7 		 23
7*		*25
0#		#0
6 		 12
6 		 12
6 		 14
6 		 16
6 		 16
6 		 16
6#		#30
7*		*43
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 3
9 		 3
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 7
9*		*25
9 		 27
9 		 29
9*		*43
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 31
1 		 33
1 		 33
1 		 41
1 		 1
1 		 9
1 		 9
1 		 11
1 		 11
1 		 13
1 		 15
1 		 15
1 		 15
1 		 19
1*		*21
4#		#20
5*		*21
4 		 22
4 		 12
4 		 14
4 		 16
4#		#20
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 3
9 		 3
9 		 3
9 		 3
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 1
9 		 3
9 		 5
9 		 5
9 		 5
9 		 11
9 		 17
9 		 23
9*		*25
1*		*77
6#		#10
7 		 17
7 		 19
7*		*21
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
7 		 51
7 		 55
7 		 55
7 		 55
7 		 61
7 		 63
7 		 63
7 		 71
7 		 73
7*		*75
1*		*127
3*		*129
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 5
9 		 7
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9*		*21
6 		 46
6 		 46
6*		*48
1 		 91
1 		 93
1 		 1
1 		 1
1 		 3
1 		 5
1 		 13
1 		 15
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 45
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 7
1 		 9
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 5
1 		 7
1 		 13
1 		 15
1 		 15
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 5
1 		 9
1 		 1
1 		 1
1 		 3
1 		 3
1 		 3
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1*		*67
1*		*67
5 		 19
5 		 23
5*		*25
7 		 39
7 		 41
7 		 41
7*		*43
3 		 5
3 		 7
3 		 7
3 		 7
3 		 7
3 		 9
3 		 9
3 		 9
3 		 11
3 		 13
3 		 13
3 		 15
3 		 17
3 		 17
3 		 17
3 		 17
3 		 19
3*		*21
0#		#0
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 5
1 		 5
1 		 7
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1*		*21
0#		#0
2 		 2
2 		 4
2 		 6
2 		 6
2 		 6
2 		 8
2#		#10
5 		 9
5 		 11
5 		 15
5 		 15
5 		 11
5 		 13
5 		 27
5 		 29
5 		 31
5 		 33
5 		 35
5 		 35
5*		*37
2 		 26
2 		 28
2#		#30
3 		 9
3 		 11
3 		 13
3 		 27
3 		 35
3*		*37
0#		#0
8 		 2
8 		 2
8 		 4
8 		 4
8 		 6
8 		 6
8 		 2
8 		 4
8 		 6
8 		 8
8#		#10
6#		#20
4 		 24
4 		 46
4*		*48
4#		#50
6*		*92
3 		 117
3*		*121
8 		 2
8 		 2
8 		 4
8 		 6
8 		 8
8#		#10
5 		 23
5 		 23
5 		 31
5 		 13
5 		 15
5 		 17
5 		 19
5*		*21
7*		*25
2 		 54
2 		 58
2 		 58
2 		 62
2 		 64
2 		 64
2 		 66
2 		 68
2#		#70
4 		 78
4 		 78
4 		 78
4 		 78
4#		#80
8 		 166
8 		 2
8 		 2
8#		#40
1 		 15
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 7
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 5
1 		 7
1 		 1
1 		 1
1 		 3
1 		 17
1 		 17
1 		 17
1 		 19
1 		 23
1*		*25
3 		 29
3 		 31
3 		 33
3 		 33
3 		 35
3 		 41
3 		 41
3*		*43
5 		 7
5 		 11
5 		 13
5 		 13
5 		 15
5*		*25
0#		#0
7 		 3
7 		 3
7 		 15
7 		 19
7*		*21
5 		 11
5 		 13
5 		 15
5 		 19
5*		*21
3 		 23
3*		*25
0#		#0
2 		 2
2 		 2
2 		 2
2 		 4
2 		 4
2 		 4
2 		 4
2 		 4
2 		 2
2 		 4
2 		 6
2 		 8
2 		 8
2 		 12
2 		 14
2 		 16
2 		 16
2 		 22
2 		 28
2 		 28
2#		#30
5*		*49
8#		#60
4 		 64
4 		 66
4 		 68
4 		 68
4 		 68
4*		*114
0#		#0
2 		 2
2 		 2
2#		#30
9 		 1
9 		 1
9 		 7
9 		 19
9 		 27
9 		 29
9 		 31
9 		 51
9 		 51
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 5
9 		 13
9 		 15
9 		 17
9 		 1
9 		 3
9 		 5
9 		 5
9 		 5
9 		 5
9 		 7
9 		 7
9 		 1
9 		 1
9 		 3
9 		 1
9 		 5
9 		 7
9 		 1
9 		 1
9 		 3
9 		 5
9 		 7
9 		 1
9 		 3
9 		 5
9 		 5
9 		 7
9 		 1
9 		 3
9 		 15
9 		 15
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 3
9 		 31
9 		 31
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 1
9 		 1
9 		 97
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 5
9 		 9
9 		 13
9*		*37
1*		*37
6 		 14
6 		 18
6 		 6
6 		 8
6 		 14
6 		 16
6 		 18
6 		 18
6#		#20
9 		 61
9 		 63
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 3
9 		 1
9 		 1
9 		 1
9 		 3
9 		 1
9 		 1
9 		 1
9*		*37
1 		 1
1 		 1
1 		 3
1 		 3
1 		 55
1 		 1
1 		 3
1 		 11
1 		 13
1 		 1
1 		 1
