2 		 2
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
5 		 27
5 		 29
5 		 33
5 		 35
5*		*37
1*		*49
9*		*21
5 		 19
5*		*21
9 		 31
9 		 35
9*		*37
0#		#0
8 		 2
8 		 4
8 		 2
8 		 4
8 		 2
8 		 4
8 		 8
8 		 8
8 		 2
8 		 4
8 		 8
8 		 8
8#		#10
4 		 26
4 		 6
4 		 6
4 		 8
4 		 18
4 		 28
4#		#30
7*		*67
5 		 13
5 		 13
5 		 17
5 		 19
5*		*21
6 		 26
6 		 28
6#		#30
5*		*37
7*		*49
8 		 2
8 		 4
8 		 6
8 		 2
8 		 4
8 		 4
8 		 6
8 		 8
8#		#10
9 		 11
9 		 11
9 		 1
9 		 1
9 		 1
9*		*65
3 		 3
3 		 5
3 		 5
3 		 7
3 		 9
3 		 11
3 		 11
3 		 3
3 		 7
3 		 5
3 		 7
3 		 9
3*		*21
4 		 24
4 		 24
4 		 26
4 		 28
4#		#30
9 		 55
9 		 55
9 		 57
9 		 57
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 3
9 		 1
9 		 11
9 		 13
9 		 47
9*		*49
4#		#10
0#		#0
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
7 		 3
7 		 5
7 		 5
7 		 5
7 		 7
7 		 9
7 		 13
7 		 15
7 		 19
7*		*21
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 5
1 		 5
1 		 5
1 		 5
1 		 1
1 		 3
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 7
1 		 9
1 		 9
1 		 11
1 		 11
1 		 13
1 		 13
1 		 15
1 		 45
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 7
1 		 1
1 		 3
1 		 3
1 		 5
1 		 7
1 		 9
1 		 9
1 		 1
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 3
1 		 7
1 		 7
1 		 7
1 		 7
1 		 7
1 		 9
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 19
1 		 19
1*		*21
8 		 2
8 		 4
8 		 26
8 		 28
8#		#30
3*		*49
2 		 58
2#		#60
4 		 62
4 		 64
4 		 6
4 		 8
4#		#10
0#		#0
0#		#0
4 		 4
4 		 6
4 		 8
4#		#10
8#		#30
3 		 7
3 		 9
3 		 45
3 		 47
3 		 47
3 		 47
3 		 47
3*		*49
9 		 1
9 		 1
9 		 1
9 		 1
9 		 3
9 		 5
9 		 13
9 		 15
9 		 17
9 		 19
9*		*21
8 		 22
8 		 22
8 		 22
8 		 24
8 		 2
8 		 4
8 		 4
8 		 6
8 		 8
8#		#10
5 		 29
5 		 29
5 		 31
5*		*43
7 		 3
7 		 5
7 		 7
7 		 9
7 		 9
7 		 15
7 		 17
7 		 19
7*		*21
1 		 1
1 		 33
1 		 35
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 5
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 9
1 		 9
1 		 11
1 		 13
1 		 15
1 		 17
1 		 1
1 		 1
1 		 3
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 5
1 		 1
1 		 1
1 		 3
1 		 9
1 		 29
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 1
1 		 3
1 		 5
1 		 5
1 		 5
1 		 5
1 		 7
1 		 13
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
1 		 3
1*		*107
4 		 36
4 		 38
4 		 64
4 		 66
4 		 68
4 		 68
4 		 22
4 		 4
4 		 6
4 		 8
4 		 14
4 		 14
4 		 16
4 		 16
4 		 18
4#		#20
2 		 24
2 		 24
2 		 2
2 		 2
2 		 2
2 		 4
2 		 6
2 		 8
2 		 8
2#		#10
9 		 1
9 		 1
9 		 1
9 		 5
9 		 5
9 		 15
9 		 15
9 		 17
9 		 17
9 		 19
9*		*21
2 		 86
2 		 2
2 		 2
2 		 4
2 		 6
2 		 2
2 		 2
2 		 2
2 		 2
2 		 2
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
8 		 2
8 		 2
8 		 2
8 		 4
8 		 4
8 		 4
8 		 6
8 		 8
8#		#10
2 		 2
2 		 4
2 		 6
2 		 6
2 		 6
2 		 2
2 		 4
2 		 6
2 		 8
2#		#10
1 		 11
1 		 13
1 		 15
1 		 15
1 		 17
1 		 1
1 		 1
1 		 1
1 		 3
1 		 5
1 		 9
1 		 9
1 		 11
1 		 13
1 		 41
1 		 45
1 		 45
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 1
1 		 1
1 		 17
1 		 39
1 		 39
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 1
1 		 3
1 		 3
